day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,windspeed,rainfall
19.0,1013.0,24.9,22.4,20.3,21.4,94.0,85.0,12.5,35.1
20.0,1014.7,23.1,19.0,17.6,17.4,91.0,96.0,28.0,31.8
21.0,1014.8,18.2,17.1,16.4,16.3,95.0,95.0,38.3,33.1
22.0,1013.4,17.3,16.6,15.9,16.0,96.0,100.0,33.5,34.6
23.0,1012.8,20.6,18.4,17.1,18.0,97.0,95.0,22.0,34.8
24.0,1020.2,17.7,15.3,12.7,14.9,98.0,99.0,42.0,31.6
25.0,1023.9,15.7,13.7,11.6,9.2,75.0,88.0,19.4,21.1
26.0,1023.6,20.2,15.8,12.6,9.8,68.0,22.0,13.4,1.5
27.0,1024.1,22.4,17.3,14.6,8.4,58.0,19.0,14.6,1.1
28.0,1024.1,19.9,16.9,15.2,10.0,65.0,58.0,26.9,1.6
29.0,1021.4,19.4,17.7,15.7,9.6,59.0,74.0,20.5,18.1
30.0,1018.3,22.2,20.0,18.4,16.3,79.0,89.0,14.8,25.6
31.0,1015.3,25.5,21.5,19.1,18.9,86.0,83.0,4.5,2.8
1.0,1014.5,25.3,21.9,19.9,19.5,86.0,83.0,8.3,3.2
2.0,1015.6,23.8,21.3,19.8,19.6,90.0,81.0,14.5,30.1
3.0,1014.6,26.5,23.0,21.0,20.7,87.0,88.0,9.2,3.4
4.0,1012.5,28.1,23.6,20.7,21.4,88.0,84.0,8.0,33.6
5.0,1013.3,24.4,22.3,20.7,20.8,91.0,78.0,14.8,31.0
6.0,1013.3,26.5,23.1,21.5,21.6,91.0,83.0,20.0,3.1
7.0,1013.2,26.9,23.9,22.4,22.3,91.0,84.0,10.0,3.6
8.0,1013.3,27.9,25.3,23.2,22.9,87.0,84.0,9.1,34.0
9.0,1011.6,27.5,25.7,24.4,23.2,86.0,88.0,17.3,30.9
10.0,1009.2,26.3,23.3,21.3,21.9,92.0,93.0,20.5,34.6
11.0,1010.1,22.8,21.5,20.1,19.9,91.0,89.0,31.8,33.4
12.0,1009.1,21.3,20.3,19.9,19.3,94.0,88.0,29.8,34.8
13.0,1005.5,25.1,21.8,20.9,21.6,98.0,93.0,14.5,39.0
14.0,1008.5,25.2,23.1,21.6,22.8,98.0,88.0,11.2,40.2
15.0,1011.4,23.5,21.1,20.6,20.6,97.0,88.0,20.0,34.7
16.0,1010.5,28.1,24.7,20.6,22.7,89.0,81.0,15.3,31.7
17.0,1010.9,27.5,25.9,24.1,24.2,90.0,86.0,16.0,32.5
18.0,1014.4,26.7,23.1,20.1,20.8,87.0,81.0,19.6,29.2
19.0,1017.4,21.8,20.5,20.1,18.1,86.0,88.0,35.3,28.1
20.0,1014.6,22.9,21.6,20.2,19.5,88.0,89.0,20.9,30.2
21.0,1012.5,28.4,24.6,22.0,22.3,87.0,80.0,7.3,32.3
22.0,1010.7,26.1,23.7,21.0,22.0,90.0,81.0,11.1,35.9
23.0,1008.2,27.7,24.9,22.6,22.8,88.0,81.0,13.0,34.6
24.0,1008.7,26.1,24.4,23.2,23.2,93.0,84.0,8.5,37.8
25.0,1009.8,28.4,26.0,23.9,24.3,90.0,83.0,13.0,34.7
26.0,1009.5,28.5,27.2,26.0,24.5,86.0,87.0,24.2,31.7
27.0,1008.2,29.1,26.8,25.4,24.0,85.0,83.0,20.2,31.6
28.0,1010.4,28.2,26.0,24.7,23.0,84.0,78.0,12.5,32.2
29.0,1013.9,26.3,24.1,22.9,19.6,76.0,68.0,30.5,24.3
30.0,1012.2,23.4,22.5,20.8,18.7,80.0,89.0,27.0,28.5
1.0,1011.5,23.4,22.2,20.4,20.9,92.0,90.0,23.7,33.2
2.0,1011.0,29.8,25.6,22.8,23.6,89.0,82.0,11.1,35.4
3.0,1011.4,30.8,26.5,22.8,23.9,86.0,84.0,11.8,33.7
4.0,1011.4,28.2,25.8,23.2,23.4,87.0,82.0,9.2,34.9
5.0,1010.5,30.9,28.1,26.2,25.1,84.0,85.0,15.4,3.0
6.0,1009.9,30.5,28.4,27.2,25.3,83.0,84.0,15.5,3.0
7.0,1010.6,31.0,28.7,27.1,25.1,81.0,69.0,12.1,3.1
8.0,1011.4,31.2,28.7,27.3,25.2,82.0,80.0,9.5,3.3
9.0,1010.1,30.6,28.7,26.9,25.0,81.0,69.0,16.3,2.8
10.0,1008.1,28.4,26.6,23.7,24.3,87.0,84.0,12.0,35.6
11.0,1008.6,28.8,25.5,23.4,20.6,75.0,62.0,26.0,2.6
12.0,1009.8,27.6,25.1,23.7,21.4,80.0,78.0,28.6,28.7
13.0,1012.4,27.8,25.5,24.4,22.2,82.0,88.0,24.9,29.1
14.0,1014.2,27.7,25.4,24.0,23.4,89.0,86.0,28.3,30.3
15.0,1012.1,29.8,26.6,24.4,23.7,85.0,75.0,15.7,28.8
16.0,1011.2,27.1,24.8,22.5,19.4,73.0,69.0,21.9,24.7
17.0,1012.3,24.6,23.7,23.2,20.1,80.0,86.0,39.5,28.4
18.0,1012.0,26.3,24.5,23.4,19.9,76.0,79.0,30.3,2.6
19.0,1009.9,28.1,25.5,24.0,22.5,84.0,85.0,26.4,30.7
20.0,1006.9,26.2,25.2,24.3,24.2,94.0,88.0,22.3,36.0
21.0,1005.9,28.3,26.5,24.7,24.3,88.0,77.0,25.9,33.3
22.0,1007.8,30.8,27.2,25.3,22.7,77.0,63.0,11.3,3.1
23.0,1008.4,28.9,26.8,24.8,23.2,81.0,65.0,7.9,31.3
24.0,1007.9,30.7,27.5,25.4,24.1,82.0,61.0,7.4,31.0
25.0,1007.8,30.9,28.0,26.2,24.7,82.0,62.0,16.2,28.8
26.0,1007.6,29.5,27.6,26.7,24.8,85.0,84.0,34.8,32.0
27.0,1006.4,29.1,27.5,26.0,25.5,89.0,88.0,32.5,34.5
28.0,1007.6,30.3,27.7,24.5,25.6,89.0,89.0,24.0,33.8
29.0,1007.9,31.0,29.1,27.2,26.1,84.0,77.0,19.0,30.9
30.0,1008.8,32.1,29.8,28.0,26.0,80.0,73.0,22.8,28.6
31.0,1009.5,31.8,29.9,28.7,25.7,79.0,72.0,25.2,2.8
1.0,1007.8,32.8,30.1,28.6,26.2,80.0,73.0,31.7,2.9
2.0,1006.0,33.0,30.3,28.7,26.3,79.0,58.0,27.4,2.8
3.0,1006.5,32.4,30.3,29.0,26.5,80.0,77.0,28.8,30.1
4.0,1007.9,33.8,28.7,24.7,25.4,83.0,75.0,20.8,30.2
5.0,1008.8,30.4,26.9,25.0,24.3,86.0,87.0,9.8,36.9
6.0,1008.8,29.1,26.2,24.8,24.7,91.0,80.0,11.2,37.1
7.0,1008.1,30.7,28.1,26.3,25.4,86.0,75.0,9.5,35.6
8.0,1006.3,30.0,27.1,24.1,25.1,89.0,85.0,12.6,36.6
9.0,1005.7,31.7,28.2,26.6,25.7,86.0,79.0,,32.9
10.0,1005.7,31.1,27.9,26.6,25.8,89.0,80.0,14.6,34.3
11.0,1005.9,27.8,26.6,25.4,25.4,93.0,85.0,20.0,35.8
12.0,1005.7,29.2,27.1,25.4,25.8,93.0,96.0,29.8,36.9
13.0,1005.0,31.5,29.7,28.5,26.7,84.0,90.0,24.3,33.6
14.0,1004.2,31.7,30.2,29.2,26.6,81.0,88.0,30.0,32.7
15.0,1005.3,32.0,30.3,29.3,26.3,79.0,86.0,29.3,31.3
16.0,1006.7,31.4,29.4,28.2,25.9,82.0,88.0,23.2,31.7
17.0,1008.2,32.1,29.4,26.7,25.9,82.0,85.0,12.8,32.9
18.0,1010.5,30.8,29.3,27.7,26.0,83.0,81.0,19.8,29.5
19.0,1010.3,34.2,30.1,27.8,26.1,80.0,41.0,12.4,2.7
20.0,1008.5,34.4,30.8,28.6,26.3,78.0,59.0,12.1,29.2
21.0,1009.3,33.7,30.6,28.7,25.6,75.0,51.0,12.6,2.7
22.0,1009.5,33.7,30.5,28.5,25.3,75.0,32.0,10.9,2.6
23.0,1008.4,34.1,30.4,28.4,24.7,72.0,20.0,9.6,2.6
24.0,1008.1,35.2,31.0,28.8,25.0,72.0,38.0,9.0,2.7
25.0,1008.9,35.5,31.4,28.9,26.1,74.0,39.0,9.1,2.7
26.0,1009.1,35.1,31.3,29.4,26.3,75.0,57.0,11.9,28.0
27.0,1007.5,35.1,31.1,28.6,26.7,78.0,61.0,15.7,27.1
28.0,1007.5,32.3,29.1,26.3,26.3,85.0,83.0,26.1,32.0
29.0,1010.0,33.3,29.0,27.5,26.7,87.0,79.0,23.4,31.2
30.0,1010.3,33.1,30.0,27.8,26.0,80.0,83.0,24.4,28.7
1.0,1008.9,33.0,30.1,27.7,26.0,79.0,78.0,21.9,28.6
2.0,1009.1,32.0,29.4,26.9,26.0,82.0,86.0,21.9,30.4
3.0,1008.7,31.5,29.4,27.3,25.8,82.0,84.0,25.1,30.2
4.0,1006.6,33.0,30.1,28.0,25.9,78.0,83.0,33.0,30.0
5.0,1007.5,32.6,29.0,25.8,26.5,87.0,88.0,22.5,33.1
6.0,1008.4,28.8,27.3,24.7,26.0,93.0,88.0,24.8,34.8
7.0,1005.9,34.0,30.2,27.9,25.6,77.0,53.0,11.3,30.5
8.0,1001.0,34.2,31.0,28.1,25.9,75.0,46.0,23.5,2.8
9.0,999.0,35.6,31.5,26.4,26.4,75.0,57.0,25.0,29.9
10.0,1000.3,31.3,28.6,26.2,25.0,81.0,88.0,18.8,34.7
11.0,1002.2,31.1,28.9,26.1,26.1,85.0,89.0,19.8,35.2
12.0,1003.8,29.0,28.1,27.0,25.1,84.0,88.0,16.3,34.0
13.0,1005.0,31.7,28.6,25.6,26.1,87.0,82.0,12.6,36.1
14.0,1006.8,30.3,28.9,26.4,26.2,86.0,83.0,14.3,33.3
15.0,1007.0,33.0,30.2,28.6,26.4,81.0,78.0,22.4,30.2
16.0,1008.1,33.2,30.6,29.0,26.4,79.0,69.0,25.1,28.0
17.0,1008.5,33.2,30.6,29.0,26.2,78.0,69.0,23.7,2.7
18.0,1007.5,32.4,30.4,28.7,25.3,74.0,72.0,23.7,27.0
19.0,1007.9,32.3,29.9,26.7,25.8,79.0,78.0,25.1,29.1
20.0,1009.8,31.9,29.2,25.6,25.6,82.0,70.0,22.6,28.3
21.0,1010.9,33.3,30.0,27.5,25.3,76.0,49.0,12.3,26.4
22.0,1010.3,32.9,30.0,28.1,25.2,76.0,29.0,14.5,2.2
23.0,1008.9,32.8,30.0,28.0,25.4,77.0,32.0,21.6,2.3
24.0,1008.4,34.0,30.4,28.0,24.6,72.0,21.0,16.0,2.1
25.0,1008.6,35.0,30.8,28.3,25.5,74.0,28.0,8.3,2.5
26.0,1008.3,32.0,29.4,27.0,26.4,84.0,57.0,17.5,28.7
27.0,1009.3,33.4,30.2,28.0,25.3,76.0,44.0,9.5,28.3
28.0,1009.7,32.9,30.1,28.1,24.8,74.0,29.0,12.8,2.4
29.0,1008.5,33.7,30.3,27.6,24.9,74.0,32.0,21.9,2.3
30.0,1006.6,33.5,29.9,28.7,24.7,74.0,49.0,16.1,25.2
31.0,1005.1,33.9,30.1,27.0,24.9,74.0,47.0,14.1,26.6
1.0,1011.2,32.2,28.9,26.9,24.6,78.0,69.0,11.8,2.9
2.0,1011.6,32.3,28.9,26.8,24.5,78.0,54.0,9.8,2.9
3.0,1010.6,33.3,29.5,27.3,24.5,75.0,38.0,5.5,2.3
4.0,1008.3,33.3,29.4,26.8,24.1,74.0,29.0,4.4,2.2
5.0,1006.1,33.3,29.6,27.6,24.4,74.0,27.0,8.7,2.7
6.0,1005.3,33.1,30.1,27.8,24.2,72.0,29.0,6.1,2.5
7.0,1003.4,33.3,30.7,28.2,24.9,72.0,40.0,10.9,3.0
8.0,998.5,36.3,32.4,30.0,24.0,62.0,55.0,17.2,2.8
9.0,998.5,34.7,31.0,26.9,24.8,71.0,80.0,26.4,31.9
10.0,1004.5,30.6,28.1,25.1,25.2,85.0,88.0,20.2,33.9
11.0,1007.3,32.8,29.2,26.3,25.4,81.0,77.0,13.9,31.0
12.0,1007.9,33.7,30.0,27.8,25.8,79.0,78.0,11.9,32.1
13.0,1007.9,29.6,28.0,26.4,25.6,87.0,84.0,22.9,32.6
14.0,1007.4,28.8,26.9,25.6,25.1,90.0,88.0,12.9,36.4
15.0,1008.5,28.6,27.0,24.9,25.0,89.0,88.0,14.2,34.2
16.0,1008.5,31.2,29.2,26.9,26.5,86.0,88.0,18.0,32.2
17.0,1008.2,32.4,29.9,28.3,26.6,83.0,81.0,20.5,30.6
18.0,1008.0,33.8,30.2,28.4,25.8,78.0,67.0,18.1,27.5
19.0,1007.7,32.8,30.1,28.1,25.7,77.0,59.0,16.6,2.7
20.0,1006.3,31.2,29.1,26.8,26.1,84.0,67.0,6.9,32.6
21.0,1002.2,33.4,30.0,26.9,25.5,77.0,70.0,13.6,3.2
22.0,1000.1,32.0,30.2,28.4,24.4,71.0,48.0,12.0,30.9
23.0,1000.0,32.9,30.6,28.0,24.2,69.0,30.0,11.7,29.2
24.0,1002.4,33.2,30.7,28.3,24.3,70.0,48.0,11.0,3.1
25.0,1005.5,34.4,30.6,27.9,23.2,65.0,22.0,10.7,2.6
26.0,1008.1,31.7,28.9,27.8,25.3,81.0,78.0,16.4,29.8
27.0,1008.1,32.4,29.0,27.0,25.0,79.0,75.0,12.0,3.2
28.0,1006.5,31.2,28.3,26.9,24.4,79.0,84.0,8.9,34.5
29.0,1006.2,29.6,27.8,26.5,24.8,84.0,87.0,11.0,36.7
30.0,1006.8,27.9,26.6,25.8,25.2,92.0,88.0,5.9,36.2
31.0,1007.4,29.0,27.4,25.8,25.0,87.0,88.0,5.7,34.0
1.0,1007.8,28.9,27.4,25.7,25.4,89.0,87.0,8.6,37.3
2.0,1010.9,27.7,25.8,24.5,24.8,94.0,88.0,16.5,34.0
3.0,1013.0,29.0,27.6,25.8,25.8,90.0,87.0,18.2,31.4
4.0,1013.1,32.9,29.1,27.0,25.7,82.0,60.0,9.8,3.1
5.0,1011.1,31.9,29.3,27.2,24.8,78.0,38.0,11.7,2.6
6.0,1008.1,32.3,29.6,27.8,25.6,79.0,43.0,24.9,2.6
7.0,1007.2,29.6,28.3,26.7,25.9,87.0,82.0,21.3,32.7
8.0,1009.4,30.7,27.9,26.4,23.1,75.0,60.0,29.0,2.5
9.0,1012.0,31.2,28.2,26.5,23.0,74.0,44.0,26.2,22.0
10.0,1012.7,31.3,28.1,26.5,23.2,75.0,47.0,24.5,2.2
11.0,1011.1,31.0,28.1,26.8,23.7,77.0,46.0,21.4,23.7
12.0,1011.5,30.5,27.9,26.2,23.2,76.0,66.0,22.6,25.1
13.0,1013.0,31.2,28.0,25.8,21.4,68.0,49.0,39.9,2.1
14.0,1012.2,31.4,28.0,25.9,22.1,71.0,46.0,41.3,2.2
15.0,1011.3,31.9,28.6,26.5,23.1,73.0,60.0,39.5,2.4
16.0,1011.9,31.0,28.1,26.9,24.5,81.0,86.0,32.2,28.7
17.0,1014.6,30.6,28.2,27.1,24.2,79.0,72.0,27.4,25.2
18.0,1015.0,31.8,28.5,26.8,24.0,77.0,47.0,14.5,22.2
19.0,1012.2,30.6,28.3,26.8,24.3,79.0,67.0,8.1,2.9
20.0,1009.3,31.1,28.7,27.1,24.5,78.0,74.0,14.5,28.3
21.0,1008.6,28.7,27.4,25.5,23.8,81.0,88.0,11.9,33.6
22.0,1009.9,31.0,28.1,26.3,25.5,86.0,67.0,14.8,29.8
23.0,1009.1,32.0,28.9,27.3,25.3,81.0,40.0,10.2,30.3
24.0,1006.7,32.0,29.3,27.4,24.7,77.0,23.0,17.3,2.3
25.0,1004.9,32.2,29.7,28.1,25.3,78.0,38.0,20.5,2.6
26.0,1006.7,32.2,28.7,26.9,26.3,87.0,71.0,14.0,32.9
27.0,1008.2,30.2,27.8,26.5,25.0,85.0,81.0,15.1,31.4
28.0,1006.7,32.8,29.0,25.8,20.6,61.0,30.0,16.4,2.1
29.0,1005.6,31.3,29.7,27.4,20.0,56.0,53.0,15.5,2.3
30.0,1011.0,32.7,29.8,28.2,24.8,75.0,78.0,12.7,28.4
1.0,1013.0,31.7,28.8,26.4,25.3,81.0,84.0,7.9,31.0
2.0,1012.4,31.6,27.9,26.5,23.1,76.0,82.0,30.6,26.1
3.0,1011.7,29.7,26.8,24.2,23.7,83.0,88.0,52.8,29.8
4.0,1013.2,27.8,26.7,24.9,25.2,92.0,95.0,50.7,32.7
5.0,1015.2,27.8,26.7,25.4,25.4,93.0,88.0,37.0,31.3
6.0,1014.1,26.8,26.0,25.3,25.4,97.0,86.0,30.4,33.0
7.0,1012.7,27.6,26.4,25.0,25.0,92.0,85.0,12.5,34.5
8.0,1010.5,30.0,27.8,26.1,23.1,76.0,54.0,13.0,2.6
9.0,1011.3,29.4,26.8,24.8,20.9,70.0,45.0,20.4,21.9
10.0,1013.7,26.6,24.3,21.1,19.9,77.0,85.0,30.2,26.3
11.0,1018.0,22.1,20.5,18.5,16.6,78.0,88.0,38.3,25.1
12.0,1019.0,24.9,23.1,21.0,16.8,67.0,88.0,28.2,21.9
13.0,1018.7,27.8,25.1,23.3,19.1,70.0,68.0,32.4,20.4
14.0,1017.4,28.2,25.0,23.1,20.1,75.0,51.0,23.9,2.0
15.0,1015.2,28.7,25.2,23.1,20.7,76.0,19.0,14.1,2.0
16.0,1013.8,29.4,25.8,23.3,20.4,73.0,20.0,9.9,2.3
17.0,1013.4,30.8,26.2,23.6,19.5,69.0,17.0,12.4,2.0
18.0,1012.5,29.1,25.5,23.5,19.3,70.0,43.0,8.9,2.5
19.0,1010.2,28.2,25.3,23.1,16.7,59.0,79.0,17.3,2.4
20.0,1008.3,29.1,26.2,23.8,17.3,58.0,78.0,17.2,2.5
21.0,1010.2,29.2,26.4,24.3,19.3,65.0,64.0,13.2,25.3
22.0,1012.0,30.6,27.0,25.3,20.9,70.0,48.0,9.2,2.6
23.0,1013.0,30.7,27.0,24.8,21.6,73.0,50.0,9.9,2.7
24.0,1015.0,29.6,26.8,24.9,22.1,76.0,61.0,19.7,22.8
25.0,1016.8,26.6,25.9,25.4,21.7,77.0,77.0,37.5,24.2
26.0,1016.8,26.2,25.4,24.5,22.3,83.0,81.0,28.9,26.6
27.0,1015.6,30.1,26.5,24.3,22.1,77.0,48.0,10.3,2.6
28.0,1017.0,29.2,26.7,25.5,23.3,82.0,46.0,15.8,22.5
29.0,1018.2,28.4,26.4,25.5,22.9,81.0,61.0,24.2,23.1
30.0,1017.8,29.6,26.7,25.3,23.1,81.0,53.0,16.5,2.2
31.0,1020.4,27.2,25.6,24.4,21.6,79.0,66.0,40.8,21.8
1.0,1020.9,24.5,22.9,20.5,17.8,73.0,61.0,29.6,1.9
2.0,1019.8,26.0,22.6,19.7,16.0,67.0,72.0,22.5,19.9
3.0,1019.5,25.8,23.7,22.3,18.8,74.0,82.0,32.9,22.1
4.0,1018.1,26.6,24.7,23.1,20.4,77.0,83.0,29.8,24.0
5.0,1016.1,28.2,25.8,24.5,22.0,80.0,82.0,28.3,25.8
6.0,1015.6,26.3,25.5,24.7,22.4,83.0,81.0,30.2,27.1
7.0,1016.3,28.4,26.2,25.2,23.4,85.0,87.0,24.8,28.0
8.0,1016.4,28.7,26.5,25.5,23.6,84.0,70.0,18.0,26.0
9.0,1015.8,30.3,26.7,24.8,23.3,82.0,58.0,12.8,26.5
10.0,1016.9,25.9,24.9,24.0,21.4,81.0,88.0,46.3,26.5
11.0,1017.7,25.4,23.8,22.6,20.6,82.0,85.0,43.8,26.2
12.0,1017.3,24.2,23.9,23.6,21.1,84.0,88.0,41.4,27.5
13.0,1015.2,25.3,23.3,21.0,22.1,92.0,86.0,29.7,31.1
14.0,1014.5,26.9,24.3,22.3,21.2,83.0,74.0,13.8,28.2
15.0,1015.2,24.8,24.2,23.5,22.3,89.0,84.0,35.8,29.7
16.0,1013.7,25.9,24.8,23.6,23.5,93.0,74.0,25.5,30.7
17.0,1013.9,27.2,25.5,24.4,23.8,90.0,51.0,17.2,2.7
18.0,1016.0,29.1,26.1,24.1,23.2,84.0,20.0,7.9,2.4
19.0,1017.0,28.5,25.9,24.5,22.9,84.0,58.0,22.1,24.4
20.0,1017.2,25.9,24.8,24.4,21.6,82.0,73.0,30.6,25.3
21.0,1017.0,26.0,24.8,23.9,21.1,80.0,83.0,40.4,2.6
22.0,1017.1,27.6,25.4,24.0,21.3,78.0,65.0,29.2,23.0
23.0,1016.7,28.4,25.4,23.7,21.2,78.0,47.0,19.6,2.1
24.0,1016.7,26.6,24.5,23.3,19.8,76.0,35.0,31.2,19.3
25.0,1017.7,25.3,22.6,18.2,16.8,70.0,44.0,28.6,1.9
26.0,1020.6,21.2,18.2,15.8,7.8,52.0,46.0,34.3,1.5
27.0,1022.4,20.4,18.4,15.3,9.7,57.0,44.0,39.3,1.4
28.0,1022.5,22.9,20.8,19.2,15.0,70.0,49.0,34.0,1.7
29.0,1021.2,24.1,22.1,20.3,17.4,75.0,40.0,16.0,1.7
30.0,1018.9,25.2,22.4,20.4,17.7,75.0,56.0,15.7,20.2
1.0,1017.6,25.1,22.9,22.0,19.0,79.0,85.0,25.0,2.5
2.0,1017.1,25.0,23.3,22.2,19.6,80.0,69.0,15.9,24.1
3.0,1019.4,22.3,20.8,19.6,16.5,77.0,93.0,27.9,24.4
4.0,1021.1,21.0,19.5,18.4,14.9,75.0,88.0,37.9,22.4
